student,finalScore_base,infit_base,localComparisons_base,modComparisons_base,moderated_base,finalScore_target,infit_target,localComparisons_target,modComparisons_target,moderated_target,ai_user,comparisons_base,comparisons_target
5beba023-c864-4afa-b1ba-dfa72a4324d5,548,0.239364268,8,0,FALSE,584,0.140527148,18,0,FALSE,FALSE,8,18
4c5e8c63-475d-4864-8d9c-4654e7a11058,557,0.192971088,8,0,FALSE,563,1.002896215,19,0,FALSE,FALSE,8,19
d37dd073-c173-4533-a443-e8c934d2a2c3,469,1.175859991,9,0,FALSE,526,1.465076691,20,0,FALSE,FALSE,9,20
daecec13-ca40-4181-ac1c-6184e2a8d639,479,0.405419761,8,0,FALSE,522,0.921023621,18,0,FALSE,FALSE,8,18
785e266b-d89f-4f95-b7e5-2150b8d02ac1,449,0.552164707,8,14,TRUE,477,0.951163091,19,0,FALSE,FALSE,14,19
578d7a02-56de-46e8-9788-e45d29abb360,441,0.390529874,9,14,TRUE,465,1.050371167,18,0,FALSE,FALSE,14,18
60ff7123-37ef-4b84-80a1-71907f702096,454,1.113300409,8,0,FALSE,544,0.87437051,19,0,FALSE,FALSE,8,19
9147f5fe-ede3-42e3-bc74-2924cde44f0a,513,1.158864495,8,0,FALSE,540,0.7202183,19,0,FALSE,FALSE,8,19
7309a70a-9337-4a56-9897-14e1cf5147f3,459,0.16129798,8,0,FALSE,503,0.558587603,21,0,FALSE,FALSE,8,21
6b4c3cc7-8055-4124-848c-007a34537a21,402,0.304161072,8,0,FALSE,409,0.04622995,19,0,FALSE,FALSE,8,19
10738d0a-e339-4a50-9eef-197ebb23a1cc,482,0.402930477,9,0,FALSE,514,1.055213552,20,31,TRUE,FALSE,9,31
8f37d930-4142-4962-9508-461f78a89d79,472,0.498941388,8,0,FALSE,509,0.412027493,18,0,FALSE,FALSE,8,18
e387e5c3-978a-482b-8aca-69e1c87353cb,482,0.543745897,8,0,FALSE,500,0.775136031,19,0,FALSE,FALSE,8,19
1c1e200c-411b-4c1e-92d1-4ccaf13cb920,473,1.315437789,8,16,TRUE,529,0.73353518,18,0,FALSE,FALSE,16,18
fff779cf-c13d-4748-8d5e-a5938ca11983,491,0.623278781,8,0,FALSE,586,0.081399132,18,0,FALSE,FALSE,8,18
381fcce9-c6ed-4246-8c66-adc7aa0522db,403,0.266184266,8,0,FALSE,476,0.760230381,19,0,FALSE,FALSE,8,19
753c92a5-d8a0-4c93-9d32-ead50a325032,398,0.131308961,9,15,TRUE,439,0.841282726,19,23,TRUE,FALSE,15,23
67e7debf-dcd1-4663-9ca9-266e13d1cf1d,486,0.477417238,7,0,FALSE,557,0.521572083,18,0,FALSE,FALSE,7,18
47bb8d70-b6fb-492d-94af-6591c41705a9,540,0.27572257,8,0,FALSE,494,1.053713826,18,0,FALSE,FALSE,8,18
75eca17d-e9c1-4bc7-bffd-ba369110834d,455,0.257219877,8,0,FALSE,609,0.15225847,18,0,FALSE,FALSE,8,18
122ad044-64dd-4c71-9100-49439fad8d23,498,0.525470648,8,0,FALSE,553,0.895715553,18,0,FALSE,FALSE,8,18
c91615c1-bd66-4073-9ddf-def33ee0f38f,460,0.89166842,8,0,FALSE,513,0.82398113,18,0,FALSE,FALSE,8,18
fb8538ef-54a7-4176-bdc9-3b0a8850ecc9,370,0.13087497,9,0,FALSE,437,0.422089107,18,0,FALSE,FALSE,9,18
88e49c47-8cc5-4dfc-9d2f-31f4cc60b26f,427,0.150399304,7,0,FALSE,426,0.578483274,19,21,TRUE,FALSE,7,21
907e92b8-9a4b-4c12-ae9f-3fbf34ea07b5,482,1.346070997,9,18,TRUE,514,0.923410283,18,0,FALSE,FALSE,18,18
412c86a4-678a-4f1b-9e39-d59e49349047,442,0.15105096,8,0,FALSE,487,0.826104187,19,0,FALSE,FALSE,8,19
088fb57f-c74a-4946-9ff9-aa1510928615,385,0.302698615,7,0,FALSE,434,0.264721724,19,0,FALSE,FALSE,7,19
12685d0a-5eca-40e7-a33f-00fbcf9df9ad,420,0.102708703,8,0,FALSE,468,0.795295826,19,0,FALSE,FALSE,8,19
429a6803-edf8-40c8-8371-f1c0d74759c7,449,0.935294982,9,16,TRUE,529,0.612127118,19,0,FALSE,FALSE,16,19
cd34f5fd-726e-43a3-980d-35c5eae97dc5,436,0.935841202,8,0,FALSE,450,0.349329582,19,0,FALSE,FALSE,8,19
a3e045d9-9c56-4bb7-b819-6c0b6bae8d0a,475,0.662080314,8,22,TRUE,529,1.208138272,19,0,FALSE,FALSE,22,19
722426cd-2b0b-440e-84f9-7d7556391c0b,473,0.669330834,8,0,FALSE,460,1.050443423,21,0,FALSE,FALSE,8,21
590caa9c-6185-4463-a568-2a74dd292794,471,0.927729006,8,0,FALSE,516,0.997530437,20,0,FALSE,FALSE,8,20
b1808888-f739-45f8-8d8d-50c079f3c5d3,481,0.739330692,8,0,FALSE,512,0.901993387,20,0,FALSE,FALSE,8,20
d028ef56-ff34-45bc-9507-332cc9a74c5c,456,0.430667136,7,15,TRUE,434,0.650444197,18,0,FALSE,FALSE,15,18
